Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$145.49,-2.83,-1.908%,41246477124.00,United States,1999,2142063,Industrials,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,$43.77,-0.24,-0.545%,11334855681.00,United States,2016,5134171,Industrials,Aluminum
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,$10.61,0.01,0.094%,0.00,,2024,17681,,
AAMI,Acadian Asset Management Inc. Common Stock,$46.78,0.37,0.797%,1670472634.00,United Kingdom,2014,301915,Finance,Investment Managers
AAP,Advance Auto Parts Inc.,$52.47,-0.03,-0.057%,3149367195.00,United States,,1103700,Consumer Discretionary,Auto & Home Supply Stores
AAT,American Assets Trust Inc. Common Stock,$18.73,-0.15,-0.794%,1145387112.00,United States,2011,317568,Real Estate,Real Estate Investment Trusts
AAUC,Allied Gold Corporation Common Shares,$22.22,0.20,0.908%,2755280000.00,,2025,683004,,
AB,AllianceBernstein Holding L.P.  Units,$42.80,1.22,2.934%,3894511143.00,United States,,312128,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,$226.08,-2.63,-1.15%,399570317603.00,United States,2012,3984703,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,$76.55,-0.26,-0.338%,5229524273.00,United States,1994,310165,Finance,Major Banks
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.46,-0.12,-4.651%,38515135694.00,Brazil,2013,58623781,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,$238.90,5.00,2.138%,4644349306.00,United States,2002,209815,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABM,ABM Industries Incorporated Common Stock,$44.63,0.34,0.768%,2732868734.00,United States,,360241,Consumer Discretionary,Diversified Commercial Services
ABR,Arbor Realty Trust Common Stock,$8.85,-0.11,-1.228%,1732039120.00,United States,2004,2241710,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,$17.55,-0.11,-0.623%,,United States,,34662,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,$17.30,0.01,0.058%,,United States,,8986,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,$22.15,-0.08,-0.36%,,United States,,6916,,
ABT,Abbott Laboratories Common Stock,$125.08,-0.32,-0.255%,217498103131.00,United States,,4360599,Health Care,Biotechnology: Pharmaceutical Preparations
ACA,Arcosa Inc. Common Stock ,$107.29,0.13,0.121%,5262040732.00,United States,2018,228228,Industrials,Metal Fabrications
ACCO,Acco Brands Corporation Common Stock,$3.59,0.03,0.843%,323588717.00,United States,,384296,Consumer Discretionary,Publishing
ACEL,Accel Entertainment Inc. ,$10.47,0.06,0.576%,871187195.00,United States,2017,325292,Consumer Discretionary,Services-Misc. Amusement & Recreation
ACHR,Archer Aviation Inc. Class A Common Stock,$8.60,-0.35,-3.911%,5614207598.00,United States,2020,40638205,Industrials,Aerospace
